Date,Price,Open,High,Low,Vol.,Change %,Pred,new
"May 04, 2017",28060,28400,28482,28025,0.08K,-1.79%,738,117.5707404
"May 05, 2017",28184,28136,28382,28135,0.06K,0.44%,-146,295.4301759
"May 08, 2017",28119,28145,28255,28097,7.85K,-0.23%,30,132.1237143
"May 09, 2017",27981,28125,28192,27947,10.10K,-0.49%,357,101.2980642
"May 10, 2017",28007,28060,28146,27981,9.28K,0.09%,124,112.1533183
"May 11, 2017",28022,27995,28100,27945,9.72K,0.05%,149,182.4270889
"May 12, 2017",28019,28088,28195,27985,9.48K,-0.01%,167,141.2551367
"May 15, 2017",28008,28049,28157,27996,8.76K,-0.04%,22,120.0690099
"May 16, 2017",28109,28025,28159,28025,7.73K,0.36%,34,218.4016414
"May 17, 2017",28614,28170,28638,28170,15.92K,1.80%,420,919.3763578
"May 18, 2017",28710,28666,28980,28551,23.80K,0.34%,234,475.3890932
"May 19, 2017",28634,28660,28779,28531,13.16K,-0.26%,345,222.8953069
"May 22, 2017",28783,28590,28799,28568,9.31K,0.52%,265,425.7384836
"May 23, 2017",28808,28804,28930,28740,12.50K,0.09%,138,194.4495477
"May 24, 2017",28719,28770,28770,28650,8.69K,-0.31%,378,69.28900524
"May 25, 2017",28638,28769,28770,28600,9.93K,-0.28%,413,39.22587413
"May 26, 2017",28847,28694,28866,28674,9.52K,0.73%,214,346.1584013
"May 29, 2017",28874,28843,28928,28807,4.56K,0.09%,121,152.2814247
"May 30, 2017",28704,28921,28960,28680,9.88K,-0.59%,491,63.23430962
"May 31, 2017",28905,28683,28950,28628,7.83K,0.70%,397,547.1156211
"Jun 01, 2017",28749,28877,28877,28712,1.77K,-0.54%,404,37.21262887
"Jun 02, 2017",28949,28685,29011,28680,0.31K,0.70%,222,598.1045676
"Jun 05, 2017",29111,29045,29180,29045,0.71K,0.56%,-3,201.3067654
"Jun 06, 2017",29481,29220,29499,29216,11.14K,1.27%,259,546.5669154
"Jun 07, 2017",29376,29439,29485,29310,9.82K,-0.36%,344,112.3940635
"Jun 08, 2017",29049,29319,29345,28951,12.95K,-1.11%,906,125.3337018
"Jun 09, 2017",28938,29001,29009,28836,8.98K,-0.38%,526,110.6119434
"Jun 12, 2017",28917,28905,28971,28851,7.77K,-0.07%,174,132.2745139
"Jun 13, 2017",28862,28907,28916,28711,7.71K,-0.19%,685,161.0781582
"Jun 14, 2017",28946,28890,29025,28802,9.37K,0.29%,329,280.1149226
"Jun 15, 2017",28686,28890,28890,28640,11.43K,-0.90%,592,46.40153631
"Jun 16, 2017",28616,28697,28718,28600,6.78K,-0.24%,205,37.06601399
"Jun 19, 2017",28473,28593,28593,28460,7.55K,-0.50%,292,13.06075193
"Jun 20, 2017",28475,28470,28530,28420,7.69K,0.01%,150,115.2128783
"Jun 21, 2017",28495,28539,28575,28403,9.08K,0.07%,420,128.5571242
"Jun 22, 2017",28557,28530,28670,28519,7.48K,0.22%,-42,178.2011992
"Jun 23, 2017",28648,28596,28782,28596,7.10K,0.32%,-82,238.3382291
"Jun 26, 2017",28426,28302,28440,28264,4.61K,-0.77%,262,301.0087744
"Jun 27, 2017",28483,28411,28572,28401,7.63K,0.20%,23,243.493715
"Jun 28, 2017",28485,28569,28660,28461,7.73K,0.01%,173,115.1678086
"Jun 29, 2017",28527,28522,28550,28380,7.94K,0.15%,550,175.8805497
"Jun 30, 2017",28295,28505,28505,28168,8.40K,-0.81%,928,128.5194192
"Jul 03, 2017",27952,28300,28300,27925,3.24K,-1.21%,804,27.36257833
"Jul 04, 2017",28043,27956,28169,27956,1.26K,0.33%,-39,300.6628631
"Jul 05, 2017",28051,28120,28155,27845,0.90K,0.03%,927,243.2934099
"Jul 06, 2017",28143,28200,28237,28111,10.57K,0.33%,205,69.1434314
"Jul 07, 2017",27812,28101,28140,27754,16.37K,-1.18%,771,97.8066585
"Jul 10, 2017",27840,27835,27887,27620,13.13K,0.10%,818,274.1267198
"Jul 11, 2017",27871,27805,27929,27702,11.02K,0.11%,420,294.3848459
"Jul 12, 2017",27889,27919,28033,27840,10.47K,0.06%,142,163.3396911
"Jul 13, 2017",27868,27945,27968,27851,7.67K,-0.08%,199,40.07141575
"Jul 14, 2017",28022,27850,28150,27753,14.38K,0.55%,432,572.8479804
"Jul 17, 2017",28147,28050,28173,28050,7.52K,0.45%,71,220.4253476
"Jul 18, 2017",28280,28160,28299,28160,9.35K,0.47%,101,259.5923295
"Jul 19, 2017",28270,28270,28285,28150,8.47K,-0.04%,465,135.5754885
"Jul 20, 2017",28345,28220,28380,28155,11.27K,0.27%,350,351.5183804
"Jul 21, 2017",28541,28333,28559,28300,9.54K,0.69%,322,469.2056184
